Namespace(modes=6, res1d=10, width=64, seed=3)
torch.Size([1200, 4325, 1]) torch.Size([1200, 4325, 1]) torch.Size([1200, 4325, 3]) torch.Size([1200, 4325, 3])
17717249 29027
0 2.9804843720048666 2.4158540191650393 0.7745737075805664
1 1.3569288360886276 0.600290138244629 0.416383113861084
2 1.3527408421505243 0.3353713531494141 0.3398425483703613
3 1.3518196980003268 0.24662785720825195 0.15485329627990724
4 1.3558343399781734 0.1309005346298218 0.09599505424499512
5 1.3515565271954983 0.08225003433227539 0.05917099475860596
6 1.3533463838975877 0.06500905704498292 0.08988993644714355
7 1.3561792629770935 0.061888910293579104 0.04273567199707031
8 1.3542064728680998 0.06501965188980102 0.0932847023010254
9 1.3516025410499424 0.07182899045944213 0.037398812770843504
10 1.3519544650334865 0.05215169739723206 0.04886861324310303
11 1.3514281720854342 0.050731580257415775 0.05589245319366455
12 1.354555289959535 0.050052048683166504 0.03934219241142273
13 1.3525075789075345 0.046840006351470946 0.06294480800628661
14 1.3515284729655832 0.05903934288024902 0.0854060697555542
15 1.3520090079400688 0.09293425846099854 0.08658980846405029
16 1.3513589499052614 0.07189799642562866 0.07834205389022827
17 1.3551136350724846 0.07601723861694336 0.07275043964385987
18 1.352452210150659 0.055674098014831544 0.03468348741531372
19 1.3515907020773739 0.04881734251976013 0.06255419015884399
20 1.3509219901170582 0.053347148656845096 0.048952765464782715
21 1.3518972559832036 0.0643318567276001 0.05923191547393799
22 1.3511876589618623 0.060391151905059816 0.049233272075653076
23 1.351077012019232 0.05628489017486572 0.051375095844268796
24 1.3557543519418687 0.05903556394577027 0.0596916127204895
25 1.3517852048389614 0.05537123823165894 0.042853899002075195
26 1.3515046029351652 0.05164282178878784 0.043110511302948
27 1.3508290539029986 0.050689892768859865 0.042672190666198734
28 1.3518638329114765 0.04938137769699097 0.05601356267929077
29 1.3509611701592803 0.048051679372787474 0.05999066591262817
30 1.3513727360405028 0.05128608083724975 0.03795025110244751
31 1.3542691571637988 0.03921548342704773 0.033533846139907834
32 1.3505590718705207 0.02897095775604248 0.025424265861511232
33 1.3511946459766477 0.022442946791648866 0.027066494226455688
34 1.3510964850429446 0.020055439829826355 0.02880902886390686
35 1.3519363021478057 0.025451066136360168 0.02831348419189453
36 1.351684079039842 0.027868771553039552 0.025584695339202882
37 1.3514601469505578 0.02626977562904358 0.015413721203804015
38 1.3507490851916373 0.02207398569583893 0.029186662435531616
39 1.350907055893913 0.0320444028377533 0.04029888153076172
40 1.3542148140259087 0.04859120750427246 0.04998199462890625
41 1.3519123119767755 0.03984783244132996 0.02671122670173645
42 1.3514350168406963 0.02815329670906067 0.03212323069572449
43 1.351251713000238 0.044814603328704836 0.04169674873352051
44 1.35053492593579 0.039719959259033204 0.045311334133148196
45 1.3503920659422874 0.04643658757209778 0.05340934753417969
46 1.350557270925492 0.0385171947479248 0.026512078046798705
47 1.3518382250331342 0.030965900421142577 0.02648958921432495
48 1.3504649279639125 0.03405441522598267 0.055625696182250974
49 1.3507049821782857 0.04621182060241699 0.03593394041061401
50 1.3504389910958707 0.037761385202407835 0.040986981391906735
51 1.357396346051246 0.035107213020324705 0.04753243446350098
52 1.3518762299790978 0.04037528538703918 0.03594527959823608
53 1.3507577830459923 0.02638586711883545 0.02347667932510376
54 1.3515291379299015 0.02145195758342743 0.029332410097122192
55 1.3505460070446134 0.022467932462692262 0.01668815016746521
56 1.3507451850455254 0.01944819724559784 0.03355071663856506
57 1.350724748102948 0.03351217365264893 0.030375502109527587
58 1.350747809978202 0.04237645888328552 0.039352794885635374
59 1.3519287558738142 0.04222575807571411 0.034556608200073245
60 1.3508907090872526 0.041788872241973876 0.0328703773021698
